"Player","League","Team","Position","Age","Market value","Contract expires","Matches played","Minutes played","Goals","Assists","Birth country","Foot","Height","Successful defensive actions per 90","Defensive duels per 90","Defensive duels won, %","Aerial duels per 90","Aerial duels won, %","Shots blocked per 90","PAdj Interceptions","Successful attacking actions per 90","Non-penalty goals per 90","xG per 90","Head goals per 90","Shots per 90","Shots on target, %","Goal conversion, %","Crosses per 90","Accurate crosses, %","Dribbles per 90","Successful dribbles, %","Offensive duels per 90","Offensive duels won, %","Touches in box per 90","Progressive runs per 90","Accelerations per 90","Passes per 90","Accurate passes, %","Forward passes per 90","Accurate forward passes, %","Long passes per 90","Accurate long passes, %","xA per 90","Second assists per 90","Smart passes per 90","Accurate smart passes, %","Key passes per 90","Passes to final third per 90","Accurate passes to final third, %","Passes to penalty area per 90","Accurate passes to penalty area, %","Deep completions per 90","Progressive passes per 90","Accurate progressive passes, %"
"S. Isotani","Japan 2.","Renofa Yamaguchi","LCB","23","0","","17","1207","0","0","Japan","left","181","7.61","5.29","69.01","7.08","58.95","0.89","5.84","0.6","0","0.05","0","0.52","57.14","0","1.04","28.57","0.07","0","1.49","65","0.67","1.04","0.07","39.82","81.84","18.57","75.5","5.74","57.14","0","0","0","0","0","7.83","73.33","1.34","27.78","0.22","9.77","77.1"
"R. Watanabe","Japan 2.","Júbilo Iwata","CF","28","0","","24","1203","4","2","Japan","right","179","4.94","4.11","67.27","5.84","41.03","0","2.84","0.82","0.3","0.32","0","1.72","30.43","17.391","0.07","0","0.45","66.67","5.24","35.71","2.02","0.67","0","15.41","72.82","2.99","57.5","0.45","50","0.02","0","0.07","0","0.3","1.95","69.23","0.82","54.55","0.45","1.95","53.85"
"Y. Egawa","Japan 2.","V-Varen Nagasaki","LCB","24","400000","","13","1200","1","0","Japan","left","175","8.55","7.5","68","4.05","48.15","0.6","5.56","0.45","0.08","0.09","0.08","0.68","55.56","11.111","0.15","50","0","0","1.58","42.86","0.9","1.13","0","37.88","86.53","15.98","76.06","3.9","42.31","0.02","0","0.08","0","0.08","4.2","66.07","0.53","28.57","0.23","5.18","50.72"
"Juanma Delgado","Japan 2.","V-Varen Nagasaki","CF","34","450000","","19","1198","7","1","Spain","right","188","2.55","2.25","43.33","10.14","37.04","0","2.43","2.78","0.53","0.64","0.08","3.16","50","16.667","0.45","83.33","1.43","47.37","10.67","34.51","4.28","0.75","0","18.33","76.64","4.81","57.81","0.83","36.36","0.13","0","0.15","100","0.23","1.8","58.33","1.58","66.67","1.13","2.03","74.07"
"Y. Murakami","Japan 2.","Ehime","CF","24","0","","22","1193","2","1","Japan","right","178","4.75","3.85","47.06","8.45","24.11","0.38","3.16","0.98","0.15","0.17","0.08","1.51","30","10","0.38","20","1.36","33.33","5.43","30.56","2.19","0.91","0.08","13.28","70.45","2.34","45.16","0.75","50","0.05","0.08","0.15","0","0.3","1.06","28.57","0.53","28.57","0.53","1.13","46.67"
"K. Oshima","Japan 2.","Ventforet Kofu","CF, LWF, AMF","29","300000","","27","1182","2","0","Japan","right","177","6.24","4.95","63.08","9.9","29.23","0.38","3.81","0.84","0.15","0.15","0","1.07","28.57","14.286","1.29","11.76","0.46","83.33","4.42","31.03","2.06","0.61","0.08","18.96","72.29","5.1","62.69","1.22","31.25","0","0","0","0","0","2.51","63.64","1.45","36.84","0.38","2.44","56.25"
"D. Matsuoka","Japan 2.","Kataller Toyama","RW","26","0","","22","1181","3","1","Japan","left","171","4.12","4.34","43.86","1.45","31.58","0.08","2.63","3.28","0.23","0.06","0.08","1.3","47.06","17.647","2.51","39.39","3.58","46.81","8.23","34.26","1.83","1.75","0.08","21.8","74.48","5.11","49.25","1.91","48","0.07","0","0","0","0.23","2.59","55.88","2.21","55.17","0.46","3.73","59.18"
"Eron","Japan 2.","Vegalta Sendai","CF","27","200000","","21","1180","3","2","Brazil","right","180","3.58","2.52","63.64","6.33","32.53","0.15","2.37","1.83","0.23","0.33","0.08","2.59","41.18","8.824","0.61","37.5","1.14","46.67","8.85","32.76","3.51","0.76","0.31","13.96","73.77","3.36","54.55","0.31","75","0.09","0.08","0","0","0.31","1.14","60","1.37","38.89","0.61","1.22","75"
"K. Tanaka","Japan 2.","Consadole Sapporo","CF, RCMF, LCMF","23","0","2026-01-31","22","1176","1","0","Japan","left","175","6.73","3.98","71.15","1.38","22.22","0.23","5.55","2.68","0.08","0.12","0","1.99","26.92","3.846","2.14","42.86","2.45","46.88","6.35","37.35","1.91","0.99","0","43.39","81.13","13.55","60.45","3.98","48.08","0.24","0.15","0.31","25","0.38","6.05","58.23","3.44","40","0.99","6.2","83.95"
"H. Yamada","Japan 2.","Sagan Tosu","CF, LCMF","25","450000","","18","1176","6","0","Japan","right","183","2.83","2.22","62.07","5.51","31.94","0.08","1.8","1.84","0.38","0.44","0.08","2.3","46.67","20","0.38","20","1.38","50","6.89","31.11","3.29","0.92","0.08","16.76","79","3.44","66.67","0.38","80","0.05","0.08","0","0","0.08","1.68","68.18","0.77","30","0.38","1.61","66.67"
"T. Suenaga","Japan 2.","Renofa Yamaguchi","LW, RW","19","0","","20","1173","3","0","Japan","unknown","175","6.75","4.99","61.54","3.3","27.91","0.15","4.98","2.69","0.23","0.31","0","2.15","35.71","10.714","1.38","55.56","2.99","35.9","7.52","28.57","2.99","2.07","0.08","23.55","70.36","8.82","52.17","2.76","50","0.07","0","0.15","50","0.38","3.76","65.31","1.61","61.9","0.69","4.37","57.89"
"N. Matsumoto","Japan 2.","Sagan Tosu","RCMF, LCMF, DMF","24","400000","","22","1172","1","0","Japan","right","171","10.6","6.3","56.1","2.69","62.86","0.69","8.65","0.84","0.08","0.06","0.08","1.15","26.67","6.667","0.61","12.5","0.46","66.67","3.23","45.24","0.54","0.31","0.08","50.15","82.85","17.05","68.02","3.76","38.78","0.02","0","0.46","33.33","0.08","7.6","64.65","1.84","37.5","0.77","6.76","57.95"
"Min-Kyu Park","Japan 2.","Consadole Sapporo","LB, LWB, LCB","30","0","","14","1166","1","1","Korea Republic","left","177","6.49","5.1","62.9","2.55","38.71","0.33","4.94","1.15","0.08","0.04","0","0.33","75","25","1.15","42.86","0.9","45.45","4.27","30.77","0.74","1.32","0.25","33.62","86.31","11.67","73.94","2.63","34.38","0.02","0","0","0","0.16","3.21","71.79","1.4","47.06","0.33","5.01","77.05"
"T. Kawano","Japan 2.","JEF United","LCB","29","400000","2026-01-31","18","1165","1","0","Japan","right","186","7.88","4.09","69.81","10.66","68.84","0.7","6.48","0.46","0.08","0.06","0.08","0.46","66.67","16.667","0","0","0.15","50","0.7","44.44","0.93","0.54","0","41.41","80.97","19.39","69.72","7.65","55.56","0","0.08","0.08","100","0.08","7.03","63.74","0.93","16.67","0.15","10.04","69.23"
"Eduardo","Japan 2.","V-Varen Nagasaki","LCB, CB","32","600000","","12","1154","1","0","Brazil","left","184","8.19","4.13","60.38","5.07","55.38","0.62","7.39","0.47","0.08","0.09","0.08","0.86","27.27","9.091","0.23","66.67","0.31","25","1.09","28.57","1.09","0.55","0.08","66.76","85.51","25.81","69.49","9.67","41.94","0.01","0","0","0","0.08","8.03","57.28","0.86","27.27","0.16","10.14","62.31"
"C. Kato","Japan 2.","Mito Hollyhock","RW, RAMF","26","250000","","18","1149","2","4","Japan","right","175","6.58","3.84","57.14","3.37","25.58","0.31","5.59","1.8","0.16","0.09","0.08","1.1","21.43","14.286","1.33","23.53","2.19","53.57","7.6","41.24","1.88","1.02","0.08","29.06","79.51","8.85","64.6","2.58","39.39","0.12","0.08","0.16","50","0.55","3.29","71.43","2.43","45.16","1.41","4.7","71.67"
"K. Okuda","Japan 2.","Mito Hollyhock","CF, AMF","31","350000","","25","1148","2","3","Japan","right","181","3.29","3.14","60","2.04","15.38","0.16","1.96","1.33","0.16","0.11","0","0.71","44.44","22.222","0.31","50","1.72","50","6.9","29.55","2.27","1.72","0.16","22.58","81.25","4.55","58.62","0.39","60","0.12","0","0","0","0.31","1.41","66.67","0.71","55.56","0.71","1.33","64.71"
"K. Nakagawa","Japan 2.","Fujieda MYFC","AMF","30","300000","","20","1147","2","2","Japan","","175","5.02","3.77","54.17","4","31.37","0","3.99","2.04","0.16","0.19","0.08","1.96","36","8","1.1","35.71","1.49","47.37","5.81","31.08","2.67","1.1","0.08","22.68","71.63","5.81","56.76","1.18","46.67","0.11","0","0.24","100","0.47","2.43","58.06","1.65","47.62","0.94","3.22","58.54"
"K. Mitsuhira","Japan 2.","Ventforet Kofu","CF","37","75000","2026-01-31","25","1140","2","2","Japan","right","175","4.18","1.74","81.82","8.21","24.04","0.24","2.71","0.71","0.16","0.3","0","1.5","26.32","10.526","0.32","25","0.63","25","4.26","24.07","3.71","0.71","0","18.55","74.89","5.45","62.32","0.63","37.5","0.05","0","0.16","50","0.16","2.13","70.37","1.34","64.71","0.95","2.13","62.96"
"H. Hatahashi","Japan 2.","Blaublitz Akita","RCB","23","0","","13","1137","1","0","Japan","unknown","0","7.28","4.43","60.71","8.23","67.31","0.87","6.02","0.32","0.08","0.12","0","0.79","40","10","0","0","0.08","0","0.24","33.33","1.27","0.08","0","18.05","68.86","10.53","61.65","5.46","60.87","0.01","0","0","0","0.08","5.54","64.29","0.63","87.5","0.47","5.94","70.67"
"T. Nakamura","Japan 2.","Consadole Sapporo","LCB, LB","25","450000","2026-01-31","15","1134","0","1","Japan","left","186","8.68","4.86","53.57","6.34","57.53","0.69","10.2","0.87","0","0.09","0","0.78","11.11","0","1.3","46.67","0.26","66.67","1.74","55","1.13","1.22","0.09","45.65","80.99","15.71","70.72","4.69","44.44","0.01","0.09","0","0","0.09","5.12","66.1","1.3","46.67","0.17","7.2","51.81"
