"Player","League","Team","Position","Age","Market value","Contract expires","Matches played","Minutes played","Goals","xG","Assists","xA","Birth country","Foot","Height","Successful defensive actions per 90","Defensive duels per 90","Defensive duels won, %","Aerial duels per 90","Aerial duels won, %","Shots blocked per 90","PAdj Interceptions","Non-penalty goals per 90","xG per 90","Head goals per 90","Shots","Shots per 90","Shots on target, %","Goal conversion, %","Crosses per 90","Accurate crosses, %","Dribbles per 90","Successful dribbles, %","Offensive duels per 90","Offensive duels won, %","Touches in box per 90","Progressive runs per 90","Accelerations per 90","Passes per 90","Accurate passes, %","Forward passes per 90","Accurate forward passes, %","Long passes per 90","Accurate long passes, %","xA per 90","Smart passes per 90","Key passes per 90","Passes to final third per 90","Accurate passes to final third, %","Passes to penalty area per 90","Accurate passes to penalty area, %","Deep completions per 90","Progressive passes per 90","Accurate progressive passes, %","Conceded goals per 90","Shots against per 90","Save rate, %","xG against per 90","Prevented goals","Prevented goals per 90","Exits per 90"
"M. Marqués","Sweden 1.","Västerås SK","RCB, LCB, CB","24","0","","14","1121","0","0.4","0","0","Sweden","right","183","10.12","6.74","65.48","2.97","45.95","0.56","6.66","0","0.03","0","7","0.56","57.14","0","0.32","50","0.96","66.67","3.53","56.82","0.88","1.45","0.4","52.27","90.02","21.6","82.53","4.98","46.77","0","0.08","0","7.15","79.78","0.48","66.67","0.16","8.19","71.57","","","0","0","","",""
"A. Erlingmark","Sweden 1.","IFK Göteborg","LCB, RDMF","27","600000","2028-12-31","14","1117","0","1.01","0","0.16","Sweden","right","189","8.94","6.28","69.23","5","50","0.64","5.89","0","0.08","0","7","0.56","14.29","0","0.4","40","0.32","100","0.89","63.64","0.81","0.81","0.16","46.09","88.46","17.24","78.5","5.64","67.14","0.01","0","0.08","6.37","78.48","0.73","33.33","0.16","9.35","71.55","","","0","0","","",""
"K. Kosugi","Sweden 1.","Djurgården","LB, LWB","19","0","2031-06-30","14","1116","1","0.74","0","0.98","Japan","left","168","9.19","7.34","64.84","2.74","41.18","0.16","5.29","0.08","0.06","0","9","0.73","33.33","11.111","2.26","35.71","2.18","51.85","6.37","45.57","1.05","1.69","0.16","39.11","81.24","15.65","71.65","4.52","39.29","0.08","0","0.16","4.6","56.14","1.94","33.33","0.08","7.18","65.17","","","0","0","","",""
"A. Douglas","Sweden 1.","Västerås SK","LCB","24","0","2027-06-30","12","1104","0","0.91","0","0.33","Sweden","right","189","10.35","7.58","72.04","3.67","46.67","0.33","6.25","0","0.07","0","7","0.57","14.29","0","0.49","33.33","1.14","78.57","4.81","62.71","1.06","1.88","0.24","55.19","90.25","24.62","86.42","3.34","51.22","0.03","0","0.08","7.09","90.8","0.41","0","0.08","8.89","73.39","","","0","0","","",""
"J. Kiilerich","Sweden 1.","Mjällby","LCB, CB","25","200000","2027-06-30","20","1092","2","2.72","0","0.04","Denmark","left","187","9.64","4.78","63.79","4.2","56.86","0.25","7.96","0.16","0.22","0.16","9","0.74","66.67","22.222","0.58","28.57","0.41","60","1.32","31.25","1.57","0.33","0","51.18","86.96","22.34","81.92","6.59","66.25","0","0.08","0","4.29","75","0.66","62.5","0.16","10.71","66.92","","","0","0","","",""
"A. Mucolli","Sweden 1.","IFK Göteborg","CF, AMF, LWF","26","1500000","2026-12-31","13","1085","2","2.63","0","1.18","Denmark","left","175","6.06","7.8","53.19","1.08","7.69","0.17","2.55","0.17","0.22","0","35","2.9","22.86","5.714","3.73","22.22","6.8","50","16.51","43.72","4.65","2.24","0.75","30.77","72.78","8.38","61.39","1.91","52.17","0.1","0.33","0.41","4.15","60","3.98","35.42","1.24","4.15","74","","","0","0","","",""
"V. Hammershøy-Mistrati","Sweden 1.","IFK Norrköping","CF, AMF","33","400000","2027-06-30","21","1069","5","3.63","0","0.4","Denmark","right","177","5.98","4.71","64.29","2.36","21.43","0.42","3.27","0.42","0.31","0.08","18","1.52","44.44","27.778","1.77","14.29","1.52","44.44","4.29","27.45","2.61","0.42","0.17","25.26","76.67","6.65","65.82","2.78","33.33","0.03","0.25","0.25","4.29","66.67","1.77","33.33","1.01","3.87","69.57","","","0","0","","",""
"N. Zätterström","Sweden 1.","Malmö FF","LCB, LB, CB","20","0","2029-06-30","14","1062","2","0.26","0","0","Sweden","left","192","10.17","6.61","74.36","3.9","60.87","0.51","8.53","0.17","0.02","0","2","0.17","100","100","0.25","0","0.93","72.73","3.05","44.44","0.17","1.69","0.25","57.63","90.44","24.32","83.62","3.9","50","0","0","0","4.92","84.48","0.59","0","0","7.46","70.45","","","0","0","","",""
"O. Berg","Sweden 1.","Malmö FF","AMF, LCMF, RW","32","1000000","2026-12-31","17","1060","0","2.05","3","1.89","Norway","right","178","6.28","6.11","69.44","1.1","46.15","0.17","3.4","0","0.17","0","14","1.19","28.57","0","1.36","50","0.76","55.56","5.35","30.16","2.89","1.27","0.17","47.72","87.19","12.23","77.78","1.36","56.25","0.16","0.08","0.85","4.42","75","2.55","86.67","1.78","5.35","73.02","","","0","0","","",""
"R. Kaib","Sweden 1.","Elfsborg","LB, LWB, RWB","28","300000","2026-12-31","17","1056","2","1.05","1","1.01","Sweden","left","178","7.5","5.88","53.62","2.47","37.93","0.26","4.9","0.17","0.09","0","12","1.02","50","16.667","4.94","31.03","1.96","52.17","4.26","38","1.79","1.45","0.51","40.48","73.68","15.09","67.23","5.54","41.54","0.09","0","0.09","4.86","52.63","5.03","38.98","0.94","9.8","68.7","","","0","0","","",""
