"Player","League","Team","Position","Age","Market value","Contract expires","Matches played","Minutes played","Goals","xG","Assists","xA","Birth country","Foot","Height","Successful defensive actions per 90","Defensive duels per 90","Defensive duels won, %","Aerial duels per 90","Aerial duels won, %","Shots blocked per 90","PAdj Interceptions","Non-penalty goals per 90","xG per 90","Head goals per 90","Shots","Shots per 90","Shots on target, %","Goal conversion, %","Crosses per 90","Accurate crosses, %","Dribbles per 90","Successful dribbles, %","Offensive duels per 90","Offensive duels won, %","Touches in box per 90","Progressive runs per 90","Accelerations per 90","Passes per 90","Accurate passes, %","Forward passes per 90","Accurate forward passes, %","Long passes per 90","Accurate long passes, %","xA per 90","Smart passes per 90","Key passes per 90","Passes to final third per 90","Accurate passes to final third, %","Passes to penalty area per 90","Accurate passes to penalty area, %","Deep completions per 90","Progressive passes per 90","Accurate progressive passes, %","Conceded goals per 90","Shots against per 90","Save rate, %","xG against per 90","Prevented goals","Prevented goals per 90","Exits per 90"
"Matheus Bidu","Brazil 1.","Corinthians","LB, LWB","26","2000000","2027-12-31","23","1723","2","2.17","1","1.34","Brazil","left","172","8.25","5.9","62.83","1.31","48","0.31","5.94","0.1","0.11","0","23","1.2","39.13","8.696","2.14","39.02","1.51","58.62","5.07","51.55","1.46","1.36","0.47","43.25","85.14","14.57","81","4.18","63.75","0.07","0.16","0.16","4.6","78.41","2.19","45.24","0.57","8.46","73.46","","","0","0","","",""
"André Ramalho","Brazil 1.","Corinthians","RCB, CB","32","2500000","2026-12-31","18","1713","0","0.33","1","0.14","Brazil","right","182","8.72","5.41","62.14","3.15","56.67","0.53","7.13","0","0.02","0","7","0.37","28.57","0","0.05","0","0.32","100","1.47","53.57","0.32","1.31","0.16","42.98","90.95","16.08","81.7","4.31","62.2","0.01","0","0.05","4.15","75.95","0.37","57.14","0.32","6.62","76.19","","","0","0","","",""
"Anderson","Brazil 1.","Cruzeiro","GK","27","200000","2027-12-31","17","1712","0","0","0","0","Brazil","left","190","0.95","0.05","0","0.42","87.5","0","1.23","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","16.19","90.26","7.52","81.12","4.21","65","0","0","0","0.68","38.46","0","0","0","2.42","63.04","1.16","3.84","69.86","1.16","0.11","0.006","1.05"
"Ronald","Brazil 1.","Criciúma","LCMF, LW","28","800000","2028-06-30","30","1709","1","1.08","2","1.74","Brazil","right","171","10.22","11.11","63.51","1.47","21.43","0.16","3.49","0.05","0.06","0","18","0.95","16.67","5.556","1.11","38.1","2.53","70.83","12.32","41.03","1.16","1.32","0.32","33.02","85.33","8.58","73.62","2.26","58.14","0.09","0.21","0.21","3.74","69.01","1.95","43.24","0.53","4.63","71.59","","","0","0","","",""
"Lincoln","Brazil 1.","Red Bull Bragantino","AMF, LCMF","27","3500000","2027-06-30","28","1700","3","2.53","2","2.8","Brazil","left","178","5.82","5.08","55.21","1.43","22.22","0.48","3.93","0.11","0.13","0","24","1.27","25","12.5","1.43","37.04","1.59","50","6.67","46.83","1.54","1.32","0.21","35.21","83.16","11.01","75.48","2.81","56.6","0.15","0.74","0.53","5.93","74.11","2.44","50","0.79","6.09","84.35","","","0","0","","",""
"Matheus Rossetto","Brazil 1.","Fortaleza","LDMF, DMF, RCMF","29","1500000","2027-12-31","22","1690","0","0.05","0","0.06","Brazil","right","180","6.55","5.27","68.69","1.33","40","0","3.65","0","0","0","2","0.11","0","0","0.11","0","1.38","61.54","5.27","48.48","0","1.07","0.11","54.59","93.27","16.4","87.01","3.04","71.93","0","0.05","0","8.2","86.36","0.59","45.45","0.21","6.5","82.79","","","0","0","","",""
"Felipe Jonatan","Brazil 1.","Fortaleza","LB","27","2000000","2027-04-30","22","1688","0","0.63","1","1.44","Brazil","left","176","8.37","5.97","60.71","2.51","42.55","0.21","5.8","0","0.03","0","9","0.48","55.56","0","2.19","39.02","1.6","70","3.73","64.29","0.64","0.85","0.05","35.14","79.36","14.98","69.4","6.02","51.33","0.08","0.05","0.16","6.08","61.4","2.83","43.4","0.59","7.89","78.38","","","0","0","","",""
"Maurício","Brazil 1.","Palmeiras","AMF","24","0","2028-12-31","25","1675","3","4.25","0","1.5","Brazil","left","175","3.55","3.39","49.21","2.15","35","0.05","2.59","0.16","0.23","0","33","1.77","42.42","9.091","2.15","30","1.56","37.93","4.84","42.22","3.22","0.7","0.21","29.93","80.97","6.23","69.83","1.18","54.55","0.08","0.11","0.32","3.12","79.31","2.26","40.48","1.02","3.76","71.43","","","0","0","","",""
"M. Gamarra","Brazil 1.","Athletico Paranaense","LCB","25","2000000","2027-12-31","19","1671","0","1.64","0","0","Paraguay","left","183","9.48","5.92","67.27","4.85","58.89","0.7","6.23","0","0.09","0","18","0.97","33.33","0","0.16","33.33","0.11","100","1.02","57.89","0.75","0.38","0.05","41.42","85.44","19.34","75.49","7.65","60.56","0","0","0","5.49","70.59","0.7","38.46","0.22","9.59","74.72","","","0","0","","",""
"Gustavo Henrique","Brazil 1.","Corinthians","LCB, RCB, CB","32","1000000","2027-12-31","18","1669","1","0.44","0","0.03","Brazil","right","196","6.74","3.72","72.46","4.26","63.29","0.81","5.68","0.05","0.02","0.05","7","0.38","57.14","14.286","0.11","50","0.11","100","0.59","63.64","0.49","0.38","0","39.85","91.34","13.97","81.47","4.42","45.12","0","0","0.05","2.43","64.44","0.27","40","0.05","4.64","72.09","","","0","0","","",""
