Player,League,Season,Team,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Birth country,Passport countries,Foot,Height,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Shots blocked per 90,PAdj Interceptions,Non-penalty goals per 90,xG per 90,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Crosses per 90,"Accurate crosses, %",Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Long passes per 90,"Accurate long passes, %",xA per 90,Smart passes per 90,Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Deep completions per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals per 90,Shots against per 90,"Save rate, %",xG against per 90,Prevented goals,Prevented goals per 90,Exits per 90,Wyscout ID
Fabinho,Brazil 1.,2026,Coritiba,"CF, RDMF, RAMF",26,0,2027-12-31,7,147,0,0.35,0,0.12,Brazil,Brazil,left,180,no,3.06,3.67,33.33,1.22,100.0,0.0,3.1,0.0,0.21,0.0,2,1.22,50.0,0.0,1.22,50.0,3.06,20.0,5.51,22.22,0.61,0.61,0.0,20.82,82.35,3.06,80.0,0.0,0.0,0.07,0.0,0.61,1.22,100.0,1.22,100.0,0.61,1.84,66.67,,,0.0,0.0,,,,502012
Fernandinho,Brazil 1.,2026,Mirassol,"CF, LAMF, LWF",29,400000,2026-12-31,3,143,0,0.0,0,0.1,Brazil,Brazil,right,175,no,5.03,7.55,50.0,1.26,50.0,0.0,1.82,0.0,0.0,0.0,1,0.63,100.0,0.0,1.89,33.33,0.63,100.0,5.66,77.78,2.52,3.15,0.0,22.03,77.14,4.41,71.43,0.63,100.0,0.07,0.0,0.63,1.26,100.0,3.15,60.0,1.26,3.78,100.0,,,0.0,0.0,,,,399399
Eduardo,Brazil 1.,2026,Red Bull Bragantino,"LCB, RB",28,900000,2028-12-29,3,141,0,0.04,0,0.0,Brazil,Brazil,right,196,no,3.83,5.11,50.0,1.28,50.0,0.0,1.62,0.0,0.02,0.0,1,0.64,0.0,0.0,0.0,0.0,0.0,0.0,0.64,0.0,0.64,0.64,0.0,35.74,87.5,14.68,78.26,4.47,57.14,0.0,0.0,0.0,3.83,66.67,1.28,50.0,0.64,5.74,77.78,,,0.0,0.0,,,,-39305
G. Cano,Brazil 1.,2026,Fluminense,"CF, AMF",38,1400000,2026-12-31,7,140,0,0.94,0,0.28,Argentina,Argentina,right,177,no,1.29,1.29,50.0,1.93,33.33,0.64,1.58,0.0,0.61,0.0,7,4.5,42.86,0.0,1.29,50.0,0.64,100.0,3.21,40.0,6.43,0.0,0.0,12.86,65.0,1.29,50.0,1.29,100.0,0.18,0.0,0.64,0.64,100.0,0.0,0.0,0.0,1.93,33.33,,,0.0,0.0,,,,17809
André Henrique,Brazil 1.,2026,Grêmio,CF,24,0,2030-06-30,5,139,0,1.42,0,0.0,Brazil,Brazil,right,189,no,5.83,4.53,57.14,5.83,22.22,0.0,4.69,0.0,0.92,0.0,5,3.24,40.0,0.0,0.0,0.0,1.29,0.0,6.47,10.0,3.88,1.29,0.0,14.24,86.36,2.59,75.0,0.0,0.0,0.0,0.0,0.0,0.65,100.0,0.65,100.0,0.65,1.29,100.0,,,0.0,0.0,,,,-171771
Caio Roque,Brazil 1.,2026,Botafogo,LB,24,400000,2027-11-30,3,139,0,0.05,1,0.7,Brazil,Brazil,left,182,yes,9.06,6.47,80.0,3.24,40.0,1.29,5.29,0.0,0.03,0.0,1,0.65,0.0,0.0,6.47,50.0,0.65,0.0,3.24,40.0,1.94,3.24,1.29,27.84,67.44,5.83,33.33,4.53,28.57,0.45,0.0,1.94,3.24,40.0,5.83,44.44,0.65,8.42,53.85,,,0.0,0.0,,,,-142903
Renan,Brazil 1.,2026,Athletico Paranaense,"CF, RWF",26,0,2028-02-29,8,139,0,0.14,0,0.19,Brazil,Brazil,right,185,no,1.29,1.94,33.33,6.47,20.0,0.0,0.94,0.0,0.09,0.0,2,1.29,0.0,0.0,0.0,0.0,0.65,0.0,10.36,18.75,3.24,0.0,0.0,11.01,82.35,1.94,100.0,1.94,66.67,0.12,0.65,1.29,0.65,100.0,0.0,0.0,0.65,0.0,0.0,,,0.0,0.0,,,,-73543
Kauê Junior,Brazil 1.,2026,Bahia,"CF, RWB, RWF",17,0,,5,139,0,0.03,0,0.48,Brazil,Brazil,left,173,no,3.88,5.83,44.44,3.24,20.0,0.0,2.07,0.0,0.02,0.0,2,1.29,50.0,0.0,3.24,40.0,6.47,60.0,16.83,53.85,3.88,1.29,0.0,27.84,76.74,3.88,83.33,0.0,0.0,0.31,0.0,1.29,1.94,66.67,4.53,57.14,1.29,3.88,83.33,,,0.0,0.0,,,,-707335
Max,Brazil 1.,2026,Chapecoense,"LCMF, AMF",25,500000,2028-12-31,2,139,0,0.0,0,0.0,Brazil,Brazil,left,175,yes,9.71,7.12,54.55,0.65,0.0,0.65,5.85,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.18,12.5,0.0,0.0,0.0,27.19,88.1,7.12,81.82,1.94,66.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.94,66.67,,,0.0,0.0,,,,-165646
Lucca Marques,Brazil 1.,2026,São Paulo,"LAMF, LW, RW",19,0,2028-04-30,4,135,0,0.27,0,0.43,Brazil,Brazil,unknown,173,no,3.33,4.67,28.57,2.0,33.33,0.0,2.65,0.0,0.18,0.0,1,0.67,0.0,0.0,2.67,25.0,6.0,66.67,8.0,50.0,4.0,3.33,0.67,26.0,84.62,6.67,80.0,0.67,100.0,0.29,0.0,1.33,2.67,100.0,2.67,50.0,1.33,4.67,85.71,,,0.0,0.0,,,,-456981
