"Player","League","Team","Position","Age","Market value","Contract expires","Matches played","Minutes played","Goals","xG","Assists","xA","Birth country","Foot","Height","Successful defensive actions per 90","Defensive duels per 90","Defensive duels won, %","Aerial duels per 90","Aerial duels won, %","Shots blocked per 90","PAdj Interceptions","Successful attacking actions per 90","Non-penalty goals per 90","xG per 90","Head goals per 90","Shots per 90","Shots on target, %","Goal conversion, %","Crosses per 90","Accurate crosses, %","Dribbles per 90","Successful dribbles, %","Offensive duels per 90","Offensive duels won, %","Touches in box per 90","Progressive runs per 90","Accelerations per 90","Passes per 90","Accurate passes, %","Forward passes per 90","Accurate forward passes, %","Long passes per 90","Accurate long passes, %","xA per 90","Smart passes per 90","Key passes per 90","Passes to final third per 90","Accurate passes to final third, %","Passes to penalty area per 90","Accurate passes to penalty area, %","Deep completions per 90","Progressive passes per 90","Accurate progressive passes, %"
"Zhang Chengdong","China 1.","Qingdao West Coast","LCB, RB, RCMF","36","25000","2025-12-31","26","1822","0","0","0","0.34","China PR","right","185","7.06","5.04","60.78","3.41","39.13","0.54","5.52","0.25","0","0","0","0","0","0","0.25","20","0.2","75","1.14","47.83","0.3","0.15","0.05","35.22","83.31","14.72","70.13","4.89","46.46","0.02","0.05","0.05","4.99","63.37","0.64","23.08","0.3","6.47","64.89"
"Wu Shaocong","China 1.","Beijing Guoan","LCB, RCB","25","375000","2027-12-31","21","1819","0","0.46","0","0.91","China PR","left","192","7.42","5.94","62.5","4.21","62.35","0.3","6.32","0.25","0","0.02","0","0.2","25","0","0.25","40","0.1","100","0.79","56.25","0.4","1.09","0.1","62.29","88.72","27.26","79.67","6.83","47.83","0.05","0.05","0","8.16","71.52","0.89","44.44","0.35","10.19","79.13"
"Duan Liuyu","China 1.","Qingdao West Coast","AMF, CF","27","150000","2025-12-31","27","1817","6","4.34","2","2.28","China PR","left","176","4.51","4.41","59.55","1.39","25","0","2.49","1.83","0.3","0.22","0","1.63","33.33","18.182","1.29","30.77","1.73","48.57","7.08","37.76","2.23","0.64","0.1","26.1","79.89","8.82","64.04","2.13","48.84","0.11","0.2","0.4","3.47","61.43","2.33","51.06","1.09","3.47","81.43"
"Y. Fan","China 1.","Tianjin Tigers","RCB, LCB","29","200000","2026-12-31","24","1788","0","0.35","0","0.29","China PR","right","180","8.31","5.74","69.3","2.52","52","0.15","5.44","0.6","0","0.02","0","0.2","0","0","0.6","58.33","0.76","33.33","2.27","31.11","0.15","0.25","0.1","41.43","82.38","18.47","68.39","7.95","48.1","0.01","0","0.1","6.34","60.32","1.66","39.39","0.55","8.26","70.73"
"Xie Weijun","China 1.","Tianjin Tigers","RCB, CF","28","300000","2026-12-31","30","1777","1","2.57","1","0.32","China PR","right","190","8","4.71","60.22","6.89","50.74","0.41","6.6","0.66","0.05","0.13","0","0.76","26.67","6.667","0.05","0","0.71","64.29","2.68","47.17","1.11","0.46","0.1","24.16","84.28","9.77","77.2","2.63","40.38","0.02","0","0.05","1.52","56.67","0.25","20","0.2","4.1","53.09"
"Lucas Gazal","China 1.","Shandong Taishan","RCB","26","550000","2025-12-31","17","1752","1","0.97","0","0.4","Brazil","right","187","6.27","3.75","53.42","5.09","61.62","0.46","6.11","0.36","0.05","0.05","0.05","0.46","44.44","11.111","0.21","75","0","0","0.31","33.33","0.51","0.46","0","33.29","86.42","13.1","71.76","5.8","57.52","0.02","0","0.21","4.98","64.95","0.62","66.67","0.36","6.22","76.03"
"He Longhai","China 1.","Qingdao West Coast","LB, RB","24","100000","2026-12-31","27","1740","0","1.42","3","1.28","China PR","","0","9.72","8.9","50","3.72","44.44","0","6.96","1.81","0","0.07","0","0.52","30","0","1.91","32.43","2.17","47.62","5.33","44.66","1.4","1.66","0.41","33.26","74.81","12.47","59.34","4.66","38.89","0.07","0.05","0.36","3.41","50","1.34","34.62","0.31","6.83","56.82"
"Huang Zhengyu","China 1.","Shandong Taishan","LCB, DMF, LCMF","28","400000","2027-12-31","25","1739","1","0.18","0","0.54","China PR","right","178","7.35","6.99","57.78","2.17","52.38","0.52","4.53","0.83","0.05","0.01","0","0.31","66.67","16.667","0.67","53.85","0.36","57.14","1.76","29.41","0.26","0.62","0","37.68","84.2","13.61","68.82","5.69","48.18","0.03","0.05","0.1","6.42","62.9","1.19","52.17","0.41","6.47","72.8"
"Zhang Wei","China 1."," Shenzhen Peng City","RB, LB","32","100000","2025-12-31","22","1724","0","0.85","0","0.54","China PR","right","177","6.73","5.48","55.24","2.3","45.45","0.1","4.59","1.2","0","0.04","0","0.52","10","0","1.67","53.13","0.37","71.43","2.14","53.66","0.89","0.68","0","29.6","78.66","11.8","71.68","5.64","59.26","0.03","0","0.1","5.17","72.73","2.09","42.5","0.42","7.73","77.7"
"Wang Peng","China 1.","Qingdao West Coast","LCB","32","100000","2025-12-31","18","1722","0","0.2","0","0.09","China PR","right","185","7.06","4.34","66.27","2.51","54.17","0.37","5.74","0.16","0","0.01","0","0.05","0","0","0.05","0","0.16","66.67","1.1","57.14","0.21","0.63","0","36.85","85.96","15.52","73.06","8.21","59.87","0","0.05","0","5.12","70.41","0.68","46.15","0.31","7.58","71.03"
