"Player","League","Team","Position","Age","Market value","Contract expires","Matches played","Minutes played","Goals","Assists","Birth country","Foot","Height","Successful defensive actions per 90","Defensive duels per 90","Defensive duels won, %","Aerial duels per 90","Aerial duels won, %","Shots blocked per 90","PAdj Interceptions","Successful attacking actions per 90","Non-penalty goals per 90","xG per 90","Head goals per 90","Shots per 90","Shots on target, %","Goal conversion, %","Crosses per 90","Accurate crosses, %","Dribbles per 90","Successful dribbles, %","Offensive duels per 90","Offensive duels won, %","Touches in box per 90","Progressive runs per 90","Accelerations per 90","Passes per 90","Accurate passes, %","Forward passes per 90","Accurate forward passes, %","Long passes per 90","Accurate long passes, %","xA per 90","Second assists per 90","Smart passes per 90","Accurate smart passes, %","Key passes per 90","Passes to final third per 90","Accurate passes to final third, %","Passes to penalty area per 90","Accurate passes to penalty area, %","Deep completions per 90","Progressive passes per 90","Accurate progressive passes, %"
"A. Appindangoyé","Turkey 2.","Sivasspor","RCB","33","800000","2026-06-30","6","586","0","0","Gabon","right","184","5.38","3.07","60","3.38","86.36","0.46","5.7","0.15","0","0.05","0","0.46","33.33","0","0","0","0","0","0.61","25","0.77","0.15","0","47.92","90.06","19.81","82.17","6.14","55","0.09","0","0","0","0.15","3.99","57.69","0.92","16.67","0.15","8.14","69.81"
"A. Traoré","Turkey 2.","Vanspor FK","AMF, LCMF, RWF","24","500000","","10","585","0","1","France","left","188","5.08","5.23","50","2","61.54","0.15","3.84","1.85","0","0.03","0","0.31","0","0","1.08","28.57","2.62","58.82","8.92","36.21","0.62","1.85","0","20.31","75.76","4.15","55.56","0.31","50","0.02","0","0","0","0.31","1.38","77.78","0.92","33.33","0.15","2","46.15"
"C. Hountondji","Turkey 2.","Bandırmaspor","RCB","31","0","2027-06-30","7","578","0","0","France","right","194","6.7","3.27","61.9","5.14","57.58","0","6.69","0.31","0","0.06","0","0.31","0","0","0.16","100","0.16","100","1.25","50","0.62","0.62","0.16","36.75","91.1","18.06","87.93","3.58","65.22","0.03","0","0","0","0.16","3.58","69.57","0.31","0","0.16","5.61","86.11"
"C. Soukou","Turkey 2.","Ümranıyespor","LWF, RWF, CF","33","350000","","8","577","0","0","Germany","right","185","2.34","2.03","61.54","3.43","31.82","0","1.13","1.09","0","0.07","0","1.09","0","0","0.62","0","1.4","77.78","5.93","47.37","0.78","1.09","0.16","24.96","79.38","5.46","68.57","0.94","66.67","0.01","0","0.16","0","0.16","2.96","63.16","0.78","40","0.62","3.12","65"
"E. Aksoy","Turkey 2.","Hatayspor","LB, LCB","21","0","2027-06-30","8","576","0","0","Türkiye","left","178","9.53","6.88","61.36","2.34","53.33","0","7.15","0.78","0","0.02","0","0.31","0","0","2.19","7.14","1.09","57.14","2.97","31.58","0.63","1.25","0.47","36.25","71.12","13.28","52.94","4.38","21.43","0.01","0","0","0","0","4.84","45.16","2.03","7.69","0","6.09","43.59"
"M. Diouf","Turkey 2.","Ankara Keçiörengücü","CF","37","100000","","7","573","0","0","Senegal","right","185","1.73","1.1","42.86","9.11","62.07","0.31","1.58","0.79","0","0.27","0","2.36","20","0","0.63","25","0.31","50","3.14","40","3.77","0.31","0","10.52","65.67","3.14","50","1.57","40","0.01","0","0","0","0","1.57","70","0.47","33.33","0.16","0.63","75"
"F. Tultak","Turkey 2.","İstanbulspor","LCB, CB","24","125000","2028-06-30","8","572","0","0","Türkiye","left","186","7.55","4.56","72.41","2.67","64.71","0.47","4.53","0.31","0","0.01","0","0.16","0","0","0.16","100","0.16","100","0.47","33.33","0.63","0","0","39.02","81.45","14","61.8","5.51","31.43","0","0","0","0","0","4.25","48.15","0.16","0","0.16","7.4","53.19"
"G. Kanga","Turkey 2."," Esenler Erokspor","LCMF, AMF, RDMF","35","900000","","9","563","2","2","Gabon","right","167","2.4","2.56","50","0.96","33.33","0","1.54","2.72","0","0.29","0","2.24","35.71","14.286","2.24","35.71","1.76","45.45","9.59","46.67","0.64","1.28","0","61.07","82.46","21.74","69.85","7.67","52.08","0.09","0","0.48","66.67","0.8","12.47","76.92","4.16","53.85","1.44","11.99","86.67"
"A. Babacan","Turkey 2.","Ümranıyespor","RCMF, LCMF, LDMF","25","200000","","9","563","0","0","Türkiye","left","174","5.91","6.23","64.1","2.24","57.14","0.16","2.75","0.8","0","0.1","0","0.16","0","0","0.96","66.67","0.32","50","2.72","47.06","0.48","0.16","0","38.05","88.66","10.07","84.13","2.08","53.85","0","0","0","0","0.16","4.64","75.86","0.8","80","0.32","6.07","81.58"
"J. Okoronkwo","Turkey 2.","Hatayspor","CF, LWF, LAMF","22","0","2027-06-30","6","557","1","0","Nigeria","right","175","2.91","4.52","39.29","3.88","37.5","0","1.72","2.42","0.16","0.36","0","2.26","50","7.143","0.32","50","2.1","46.15","9.86","39.34","3.88","1.78","0.48","12.93","77.5","2.91","77.78","0","0","0.04","0.32","0.16","100","0.32","1.13","71.43","0.97","100","0.81","1.94","66.67"
