"Player","League","Team","Position","Age","Market value","Contract expires","Matches played","Minutes played","Goals","xG","Assists","xA","Birth country","Foot","Height","Successful defensive actions per 90","Defensive duels per 90","Defensive duels won, %","Aerial duels per 90","Aerial duels won, %","Shots blocked per 90","PAdj Interceptions","Successful attacking actions per 90","Non-penalty goals per 90","xG per 90","Head goals per 90","Shots per 90","Shots on target, %","Goal conversion, %","Crosses per 90","Accurate crosses, %","Dribbles per 90","Successful dribbles, %","Offensive duels per 90","Offensive duels won, %","Touches in box per 90","Progressive runs per 90","Accelerations per 90","Passes per 90","Accurate passes, %","Forward passes per 90","Accurate forward passes, %","Long passes per 90","Accurate long passes, %","xA per 90","Smart passes per 90","Key passes per 90","Passes to final third per 90","Accurate passes to final third, %","Passes to penalty area per 90","Accurate passes to penalty area, %","Deep completions per 90","Progressive passes per 90","Accurate progressive passes, %"
"N. Tresoldi","Belgium 1.","Club Brugge","CF","21","5000000","2026-06-30","14","939","4","4.19","0","0.37","Italy","right","183","3.07","3.07","68.75","4.31","35.56","0.1","1.47","1.53","0.38","0.4","0.1","2.3","41.67","16.667","0.48","0","0.96","50","8.34","37.93","3.93","0","0","10.64","75.68","2.3","66.67","0.58","33.33","0.04","0.19","0.19","1.15","75","0.96","50","0.96","0.96","70"
"A. Piedfort","Belgium 1.","Westerlo","LDMF","20","0","","11","933","1","0.22","1","0.17","Belgium","right","180","9.07","5.5","77.19","1.35","50","0.19","5.51","0.77","0.1","0.02","0","0.39","25","25","0.48","40","0.48","60","2.7","46.43","0.39","1.25","0.29","42.54","86.62","15.43","76.88","3.28","52.94","0.02","0.29","0.1","6.27","73.85","1.25","61.54","0.48","5.4","78.57"
"B. Fredrick","Belgium 1.","Dender","RB, CB, RCB","20","0","","14","933","0","1.44","0","1.12","Nigeria","right","187","9.74","7.04","71.23","4.53","31.91","0.68","5.76","1.54","0","0.14","0","0.77","25","0","1.74","44.44","0.68","71.43","3.67","39.47","1.06","0.77","0.1","35.5","81.52","11.19","68.1","2.03","47.62","0.11","0.1","0.39","3.76","64.1","1.45","53.33","0.19","6.37","60.61"
"R. Schoofs","Belgium 1.","Union Saint-Gilloise","LCMF, AMF","31","2200000","2028-06-30","14","930","3","2.37","1","2.23","Belgium","left","178","5.61","3.58","62.16","1.45","33.33","0.1","3.46","1.55","0.19","0.23","0","1.84","36.84","15.789","1.16","25","0.68","71.43","3.19","42.42","1.84","1.35","0","36.58","80.42","12.1","67.2","4.65","43.75","0.22","0.19","0.48","5.03","63.46","2.03","47.62","0.97","5.03","73.08"
"E. Utkus","Belgium 1.","Cercle Brugge","RCB, LCB","25","2500000","2026-06-30","12","927","2","0.75","0","0","Lithuania","right","189","9.32","4.66","70.83","7.38","75","0.97","7.84","0.29","0.19","0.07","0.19","0.58","50","33.333","0","0","0.1","0","1.17","83.33","0.78","0.68","0","47.09","81.86","21.17","71.56","6.6","41.18","0","0","0","8.74","63.33","0.39","0","0.1","10.78","63.06"
"Óscar Gil","Belgium 1.","OH Leuven","RWB, RB","27","800000","2026-06-30","12","927","0","0.93","0","0.14","Spain","right","175","12.33","10.97","66.37","2.04","23.81","0.49","5.79","1.17","0","0.09","0","0.49","20","0","1.46","40","1.46","33.33","6.41","33.33","1.26","0.39","0","21.36","77.73","6.6","63.24","2.52","50","0.01","0","0.1","1.94","70","1.07","63.64","0.49","3.59","62.16"
"M. Delorge","Belgium 1.","Gent","RCMF, DMF, RDMF","21","5000000","","13","927","0","0.38","2","1.11","Belgium","left","189","7.38","5.15","71.7","1.75","27.78","0.29","4.66","0.78","0","0.04","0","0.78","37.5","0","0.68","28.57","0.29","66.67","2.72","32.14","0.1","0.68","0","57.96","88.78","15.24","77.07","5.24","70.37","0.11","0.1","0.29","8.45","82.76","1.36","35.71","0.39","8.45","71.26"
"D. Foulon","Belgium 1.","Antwerp","LWB, LB","26","1700000","","12","924","0","1.04","1","0.88","Belgium","left","180","6.43","4.29","50","3.41","60","0.49","5.44","1.85","0","0.1","0","0.39","0","0","3.02","38.71","1.27","46.15","2.92","50","0.78","1.27","0.29","32.05","77.81","10.81","63.06","2.63","37.04","0.09","0.1","0.49","3.99","75.61","2.92","53.33","0.39","6.92","71.83"
"A. Minda","Belgium 1.","Cercle Brugge","CF, LAMF","22","6000000","","13","920","3","2.93","1","0.64","Ecuador","right","171","2.35","1.86","68.42","1.08","45.45","0","1.52","4.3","0.29","0.29","0","2.15","54.55","13.636","1.96","25","4.4","57.78","10.47","37.38","3.42","3.42","0.49","22.3","78.95","3.91","65","0.78","75","0.06","0.1","0.49","1.57","81.25","2.05","47.62","1.37","2.15","81.82"
"L. Augustinsson","Belgium 1.","Anderlecht","LB, LCB","31","4000000","2027-06-30","11","918","0","0.47","1","1.56","Sweden","left","181","8.92","6.27","76.56","3.33","41.18","0.49","5.22","1.27","0","0.05","0","0.78","12.5","0","2.25","30.43","0.78","62.5","2.06","42.86","1.47","1.08","0.1","48.63","81.65","23.63","74.27","6.86","45.71","0.15","0","0.2","11.18","75.44","3.14","40.63","0.69","11.96","74.59"
"J. Romsaas","Belgium 1.","Charleroi","AMF","21","0","2027-06-30","13","917","0","1.96","2","0.92","Norway","right","187","6.28","3.53","77.78","4.22","41.86","0.1","4.17","1.67","0","0.19","0","1.86","47.37","0","0.49","40","0.88","66.67","4.61","42.55","2.45","1.08","0.29","24.83","88.14","5.99","80.33","0.69","71.43","0.09","0","0.29","3.04","83.87","1.08","63.64","0.98","2.65","88.89"
"L. Agyekum","Belgium 1.","Cercle Brugge","RW, RB, RAMF","21","0","2029-06-30","12","912","0","1.18","1","1.89","Ghana","right","174","9.38","7.6","51.95","2.37","25","0.1","6.94","1.58","0","0.12","0","1.18","33.33","0","2.07","23.81","1.48","46.67","7.6","42.86","1.88","1.09","0.1","24.57","74.3","8.09","67.07","2.17","45.45","0.19","0","0.59","3.75","63.16","2.66","44.44","1.09","5.03","76.47"
"Nacho Miras","Belgium 1.","Mechelen","GK","28","400000","","9","901","0","0","0","0","Spain","right","187","1.6","0","0","0.7","85.71","0","2.1","0","0","0","0","0","0","0","0","0","0","0","0.2","100","0","0","0","16.48","81.82","8.59","67.44","5.79","56.9","0","0","0","1.4","50","0.2","0","0","4.59","63.04"
"Flávio Nazinho","Belgium 1.","Cercle Brugge","LB","22","1200000","2028-06-30","10","896","0","0.18","3","2.73","Portugal","left","180","9.94","6.53","70.77","1.51","40","0.2","7.43","3.52","0","0.02","0","0.7","14.29","0","3.82","34.21","2.81","67.86","7.23","45.83","1.61","2.11","0.4","43.49","71.13","19.29","64.06","5.12","39.22","0.27","0.5","0.9","8.24","56.1","3.82","52.63","0.7","11.45","67.54"
"P. Guiagon","Belgium 1.","Charleroi","LAMF","24","1800000","","11","896","4","2.44","2","1.07","Côte d'Ivoire","right","169","2.91","3.01","50","1.1","27.27","0.1","1.93","5.02","0.3","0.24","0","2.01","35","20","2.61","38.46","5.83","55.17","13.86","47.83","2.71","4.52","0.8","34.25","82.4","7.23","79.17","1.91","84.21","0.11","0.1","0.4","2.61","84.62","3.21","59.38","1.51","5.52","80"
"Y. Tsunashima","Belgium 1.","Antwerp","RCB, CB, LCB","25","0","2028-06-30","11","892","0","0.61","0","0.04","Japan","right","188","9.38","7.16","71.83","3.23","53.13","1.21","6.03","0.5","0","0.06","0","0.5","60","0","0.3","0","0.3","66.67","1.41","42.86","0.61","1.31","0.1","52.26","87.64","18.77","74.19","5.25","46.15","0","0","0","5.95","71.19","0.3","33.33","0.1","8.17","66.67"
"O. Maës","Belgium 1.","La Louvière","RCMF, LCMF, RW","27","0","","12","890","0","0.39","1","2.11","France","right","175","8.09","7.79","57.14","2.02","20","0.1","3.6","2.43","0","0.04","0","1.01","30","0","2.83","10.71","4.45","40.91","12.34","34.43","1.11","2.33","1.01","17.6","58.05","6.88","58.82","3.03","30","0.21","0","0.2","3.74","51.35","3.03","36.67","0.4","3.24","68.75"
"K. Karetsas","Belgium 1.","Genk","AMF, RAMF","18","0","2027-06-30","12","888","0","1.63","2","1.37","Belgium","left","171","4.16","4.36","60.47","0.81","25","0","2.49","3.85","0","0.17","0","2.03","25","0","3.45","14.71","6.28","45.16","16.22","40.63","2.84","2.84","0.41","37.7","78.49","9.53","67.02","3.34","57.58","0.14","0.41","0.91","4.36","72.09","3.95","51.28","2.33","5.68","80.36"
"A. Ferrari","Belgium 1.","Sint-Truiden","CF","22","0","2028-06-30","13","883","2","3.95","0","0.28","Uruguay","right","190","4.48","5.2","47.06","4.89","39.58","0.31","2.84","1.33","0.1","0.4","0","2.34","26.09","8.696","0.51","20","2.34","21.74","7.75","23.68","4.18","1.22","0.2","8.97","75","1.63","81.25","0.92","55.56","0.03","0.1","0.31","0.92","77.78","0.51","60","0.61","1.22","75"
"J. Afriyie","Belgium 1.","La Louvière","CF","18","0","","10","868","2","2.93","0","0.18","Ghana","right","180","2.38","3.21","51.61","2.9","10.71","0","0.69","2.07","0.21","0.3","0","1.97","31.58","10.526","0.41","25","2.28","59.09","7.05","32.35","2.9","1.14","0.31","10.26","67.68","2.8","44.44","0.93","22.22","0.02","0","0.1","0.93","44.44","0.83","75","0.62","0.93","55.56"
"Oh Hyeon-Gyu","Belgium 1.","Genk","CF","24","1800000","","13","865","5","4.57","1","0.74","Korea Republic","right","185","3.23","2.91","57.14","4.16","25","0.42","2.65","2.6","0.52","0.48","0","3.23","54.84","16.129","0.42","25","2.08","35","5.93","28.07","5.83","0.83","0.1","12.28","82.2","1.46","50","0.62","50","0.08","0","0.42","0.94","55.56","0.73","71.43","0.94","1.14","72.73"
