"Player","League","Team","Position","Age","Market value","Contract expires","Matches played","Minutes played","Goals","xG","Assists","xA","Birth country","Foot","Height","Successful defensive actions per 90","Defensive duels per 90","Defensive duels won, %","Aerial duels per 90","Aerial duels won, %","Shots blocked per 90","PAdj Interceptions","Successful attacking actions per 90","Non-penalty goals per 90","xG per 90","Head goals per 90","Shots per 90","Shots on target, %","Goal conversion, %","Crosses per 90","Accurate crosses, %","Dribbles per 90","Successful dribbles, %","Offensive duels per 90","Offensive duels won, %","Touches in box per 90","Progressive runs per 90","Accelerations per 90","Passes per 90","Accurate passes, %","Forward passes per 90","Accurate forward passes, %","Long passes per 90","Accurate long passes, %","xA per 90","Smart passes per 90","Key passes per 90","Passes to final third per 90","Accurate passes to final third, %","Passes to penalty area per 90","Accurate passes to penalty area, %","Deep completions per 90","Progressive passes per 90","Accurate progressive passes, %"
"Behram Abduweli","China 1."," Shenzhen Peng City","RW, CF","22","0","2027-12-31","18","1005","0","1","0","0.29","China PR","unknown","0","7.97","8.24","60.87","6.81","47.37","0.09","3.64","1.88","0","0.09","0","0.81","55.56","0","1.52","17.65","2.33","50","11.46","35.16","2.42","1.52","0.36","18.99","73.58","3.4","50","0.45","20","0.03","0","0","1.16","38.46","1.07","33.33","0.18","0.9","60"
"Xu Haoyang","China 1.","Shanghai Shenhua","RCMF, LB, RAMF","26","350000","2026-12-31","26","1001","1","0.75","1","1.33","China PR","left","180","9.08","7.82","54.02","1.8","50","0.09","6.25","2.43","0.09","0.07","0.09","0.81","55.56","11.111","2.52","32.14","2.16","54.17","5.21","37.93","1.53","1.71","0.09","33.9","76.13","12.23","63.24","4.95","50.91","0.12","0.18","0.27","6.65","59.46","3.33","43.24","1.08","7.37","76.83"
"Liu Yiming","China 1.","Wuhan Three Towns","RCB","30","175000","2025-12-31","19","987","0","0.12","0","0","China PR","right","190","7.84","5.47","55","2.28","36","0.55","6.05","0.55","0","0.01","0","0.09","0","0","0.73","25","0.36","100","1.28","78.57","0.55","0.46","0","33.19","80.77","16.05","73.3","7.84","61.63","0","0","0","4.65","64.71","0.82","11.11","0.18","9.03","65.66"
"Pedro Delgado","China 1.","Chengdu Rongcheng","LW, RW, LWF","28","300000","2026-12-31","21","984","3","5.31","0","0.9","Portugal","left","188","6.4","6.49","57.75","3.29","41.67","0","4.15","2.65","0.27","0.49","0","3.02","24.24","9.091","2.1","26.09","2.2","62.5","8.96","40.82","4.66","2.56","0.09","32.74","78.49","8.32","61.54","1.55","41.18","0.08","0.18","0.37","3.29","72.22","2.65","48.28","1.55","3.75","90.24"
"S. Fan","China 1.","Beijing Guoan","RCB, DMF","20","0","2028-12-31","17","979","0","0.08","0","0","China PR","","177","4.78","5.52","56.67","1.65","33.33","0.18","3.33","0.37","0","0.01","0","0.28","33.33","0","0","0","0.55","50","1.75","31.58","0","1.01","0.28","56.72","93.68","15.08","83.54","3.59","58.97","0","0","0","6.16","82.09","0.55","50","0.18","5.52","73.33"
"Fang Jingqi","China 1.","Tianjin Tigers","GK","32","125000","2026-12-31","10","977","0","0","0","0","China PR","right","188","0.74","0.09","0","0.64","100","0","1.01","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13.91","85.43","7.55","76.83","5.53","65","0","0","0","0.83","55.56","0.09","100","0.09","4.05","75"
"Lu Yongtao","China 1.","Henan","RDMF, RCMF","25","0","2025-12-31","18","960","2","1.96","0","0.62","China PR","","185","9.38","9.56","54.9","5.06","40.74","0.47","5.88","0.84","0.19","0.18","0.09","0.84","55.56","22.222","0.19","50","0.47","60","4.88","44.23","1.97","0.56","0.19","30.47","84.92","9.19","64.29","2.81","50","0.06","0.09","0.09","4.97","66.04","1.03","27.27","0.66","3.56","63.16"
"Ren Hang","China 1.","Wuhan Three Towns","RCB, LCB","36","25000","2025-12-31","16","957","0","0.29","0","0.01","China PR","right","182","8.84","5.92","76.19","6.77","62.5","0.19","5.36","0.09","0","0.03","0","0.19","50","0","0.19","0","0","0","0.56","66.67","0.38","0.28","0","32.73","80.75","13.35","64.79","5.64","45","0","0","0","3.1","48.48","0.38","25","0.09","5.64","50"
"Xinli Peng","China 1.","Changchun Yatai","LCMF, RWF, RCMF","34","100000","2025-12-31","17","952","0","0.41","3","1.55","China PR","left","177","7.85","8.6","63.74","1.51","12.5","0.09","2.71","2.46","0","0.04","0","0.85","33.33","0","1.61","58.82","1.7","66.67","7","60.81","1.51","1.04","0.09","31.95","84.02","8.98","69.47","2.17","47.83","0.15","0.28","0.28","4.73","68","3.21","55.88","1.13","4.07","76.74"
"Leung Nok Hang","China 1.","Zhejiang Professional","LCB, RCB","31","350000","2025-12-31","14","952","0","0.18","0","0","Hong Kong","right","184","7.66","4.92","61.54","4.82","49.02","0.28","5.69","0","0","0.02","0","0.28","0","0","0","0","0","0","0.28","66.67","0.57","0.09","0","47.46","90.44","20.04","83.96","3.69","48.72","0","0","0","3.88","85.37","0.09","0","0.09","9.36","71.72"
