"Player","League","Team","Position","Age","Market value","Contract expires","Matches played","Minutes played","Goals","xG","Assists","xA","Birth country","Foot","Height","On loan","Successful defensive actions per 90","Defensive duels per 90","Defensive duels won, %","Aerial duels per 90","Aerial duels won, %","Shots blocked per 90","PAdj Interceptions","Non-penalty goals per 90","xG per 90","Head goals per 90","Shots","Shots per 90","Shots on target, %","Goal conversion, %","Crosses per 90","Accurate crosses, %","Dribbles per 90","Successful dribbles, %","Offensive duels per 90","Offensive duels won, %","Touches in box per 90","Progressive runs per 90","Accelerations per 90","Passes per 90","Accurate passes, %","Forward passes per 90","Accurate forward passes, %","Long passes per 90","Accurate long passes, %","xA per 90","Smart passes per 90","Key passes per 90","Passes to final third per 90","Accurate passes to final third, %","Passes to penalty area per 90","Accurate passes to penalty area, %","Deep completions per 90","Progressive passes per 90","Accurate progressive passes, %","Conceded goals per 90","Shots against per 90","Save rate, %","xG against per 90","Prevented goals","Prevented goals per 90","Exits per 90"
"Afonso Sousa","Portugal 3.","Sporting Braga II","RCB, LCB","18","0","","11","910","0","0.01","0","0","Portugal","right","182","no","7.91","4.25","72.09","4.15","59.52","0.59","7.58","0","0","0","1","0.1","0","0","0.1","0","0.1","100","0.99","40","0","1.19","0","80.21","90.14","24.63","75.1","8.6","51.72","0","0","0","7.42","56","0.69","0","0","9.89","68","","","0","0","","",""
"Zeega","Portugal 3.","Vitória Guimarães II","AMF, RDMF, RCMF","17","0","","15","909","1","0.69","0","0.57","Portugal","right","178","no","7.03","7.72","56.41","3.27","42.42","0.2","3.69","0.1","0.07","0","7","0.69","28.57","14.286","1.19","16.67","1.88","57.89","8.51","38.37","1.88","1.09","0.4","24.06","77.37","7.33","63.51","1.19","58.33","0.06","0.2","0.5","3.07","67.74","1.68","47.06","0.89","2.77","64.29","","","0","0","","",""
"Á. Gomes","Portugal 3.","Varzim","LW, AMF, RAMF","25","0","2026-06-30","21","908","0","1.17","1","0.75","Venezuela","right","178","no","5.65","4.76","60.42","1.78","27.78","0.2","4.15","0","0.12","0","19","1.88","10.53","0","2.28","43.48","5.15","44.23","15.07","34.87","1.98","2.48","0.99","24.68","77.51","5.35","62.96","0.79","37.5","0.07","0","0.3","2.48","64","2.18","59.09","0.59","3.27","66.67","","","0","0","","",""
"M. Cunha","Portugal 3.","Amarante","LCMF, AMF, CF","25","0","2026-06-30","18","907","1","1.55","0","0.39","Cape Verde Islands","unknown","0","no","6.65","5.46","61.82","7.74","30.77","0.3","3.31","0.1","0.15","0","18","1.79","22.22","5.556","0.79","25","1.49","40","7.44","30.67","1.98","1.29","0.3","23.02","79.74","5.76","67.24","1.09","54.55","0.04","0","0.2","2.38","62.5","0.99","40","0.4","2.28","56.52","","","0","0","","",""
"Zé Gata","Portugal 3.","Caldas","LAMF, LWF, AMF","25","0","2026-06-30","20","907","2","1.69","1","0.57","Portugal","right","175","no","6.45","5.95","63.33","2.78","25","0.1","3.84","0.2","0.17","0","16","1.59","31.25","12.5","2.38","8.33","3.37","41.18","10.42","29.52","2.68","2.48","0.79","22.33","73.78","4.86","67.35","1.49","33.33","0.06","0.1","0.1","1.98","55","2.58","26.92","0.99","2.08","71.43","","","0","0","","",""
"M. Tepe","Portugal 3.","Vitória Guimarães II","LAMF, RW, LWF","21","0","","20","904","2","0.9","0","0.44","Portugal","unknown","0","no","8.86","6.57","65.15","4.78","45.83","0.1","6.75","0.2","0.09","0","11","1.1","36.36","18.182","2.79","28.57","3.88","48.72","10.35","36.54","2.39","1.69","0.4","20.21","67","5.48","54.55","1.29","46.15","0.04","0","0.2","1","50","1.99","25","0.1","2.89","51.72","","","0","0","","",""
"Cuba","Portugal 3.","Académica","CF","22","0","2026-06-30","14","901","5","3.66","0","0.26","Portugal","right","176","yes","2.9","2.7","55.56","4.99","16","0","2.06","0.5","0.37","0.1","26","2.6","34.62","19.231","1.5","20","1.1","36.36","5.19","23.08","3.5","0.3","0","14.78","56.76","3.6","38.89","1.8","44.44","0.03","0.1","0.2","1.6","62.5","1.6","37.5","0.5","1.9","57.89","","","0","0","","",""
"A. Duarte","Portugal 3.","Sporting Braga II","LAMF, LW, LCMF","20","0","","15","900","1","0.93","2","0.5","Portugal","right","180","no","4.5","5","54","1.5","20","0","2.4","0.1","0.09","0","12","1.2","25","8.333","1.4","42.86","3.1","32.26","8.6","22.09","1.2","2.2","0.5","23.1","81.39","5.7","70.18","0.9","44.44","0.05","0.1","0.4","2.3","78.26","1.3","61.54","0.5","3.6","58.33","","","0","0","","",""
"Zé Oliveira","Portugal 3.","Fafe","LCB, RCB","30","0","2026-06-30","15","891","0","0.07","0","0","Portugal","right","187","no","5.45","5.66","55.36","5.05","56","0.51","3.79","0","0.01","0","1","0.1","100","0","0.1","0","0.2","0","1.01","50","0.3","0.3","0","47.27","91.24","15.35","82.24","2.63","57.69","0","0","0","2.32","82.61","0.1","0","0.1","6.26","62.9","","","0","0","","",""
"Gonçalo Loureiro","Portugal 3.","Spartakos Kitiou","LCB, CB, RCB","26","0","2026-05-31","11","879","0","0.35","0","0","Portugal","right","186","no","8.4","5.12","68","9.11","59.55","1.33","6.61","0","0.04","0","3","0.31","66.67","0","0","0","0.2","100","0.92","66.67","0.41","0.2","0","32.76","84.38","12.08","71.19","3.99","48.72","0","0","0","2.15","71.43","0.2","0","0","5.84","49.12","","","0","0","","",""
"Jailson Gomes","Portugal 3.","Sporting Covilhã","RAMF, RW, LWF","25","0","","18","876","1","1.15","0","0.22","Guinea-Bissau","","181","no","6.78","4.62","71.11","2.67","50","0","4.78","0.1","0.12","0.1","8","0.82","25","12.5","1.44","35.71","2.36","47.83","12.12","28.81","1.34","0.82","0.1","20.65","71.14","5.55","59.26","1.85","50","0.02","0.1","0","2.67","73.08","2.36","47.83","0.51","5.03","65.31","","","0","0","","",""
"Miguel Rodeia","Portugal 3.","União Santarém","LCB","25","0","","11","874","0","0.36","1","0.03","Portugal","left","185","no","8.14","4.53","75","5.25","72.55","0.62","6.32","0","0.04","0","4","0.41","0","0","1.65","18.75","0.82","50","1.85","50","0.72","0.93","0","41.4","74.38","23.07","68.75","8.86","40.7","0","0","0.1","7.41","50","1.54","40","0.31","9.58","69.89","","","0","0","","",""
"A. Idache","Portugal 3.","Amarante","CF","24","0","2026-06-30","19","874","1","3.31","0","1.09","Nigeria","right","184","no","3.09","2.57","60","6.59","25","0","1.87","0.1","0.34","0.1","25","2.57","36","4","0.41","25","4.22","56.1","13.9","27.41","4.63","1.54","0","12.77","79.03","2.88","75","0","0","0.11","0","0.31","1.24","66.67","0.62","100","0.72","0.93","77.78","","","0","0","","",""
"J. Oliveira","Portugal 3.","Trofense","RB, RWB","21","0","","13","872","1","0.24","2","0.64","Portugal","right","177","no","9.08","7.84","69.74","1.34","38.46","0","4.87","0.1","0.03","0","2","0.21","50","50","4.44","25.58","5.26","52.94","9.7","43.62","0.93","1.86","0.62","25.7","60.64","9.08","40.91","5.26","39.22","0.07","0","0.21","4.44","32.56","3.61","28.57","0.21","5.78","64.29","","","0","0","","",""
"Miguel Abreu","Portugal 3.","1º Dezembro","LCMF, DMF","32","0","2026-06-30","10","872","0","0.5","0","0.24","Portugal","left","181","no","8.67","6.19","51.67","4.13","47.5","0.41","7.31","0","0.05","0","8","0.83","37.5","0","0.83","37.5","0.83","37.5","3.2","35.48","0.83","0.31","0","28.8","77.42","8.67","53.57","3.3","50","0.02","0","0.1","3.51","58.82","1.34","61.54","0.41","4.33","52.38","","","0","0","","",""
"Fábio Borges","Portugal 3.","Trofense","RCMF, DMF","26","0","2026-06-30","15","865","0","0.06","0","0.05","Portugal","right","182","no","9.36","7.8","60","1.46","35.71","0.52","6.34","0","0.01","0","2","0.21","50","0","0","0","0.21","50","1.35","38.46","0","0.21","0.1","24.35","77.35","10.92","64.76","4.27","56.1","0.01","0","0","5.31","56.86","0.73","28.57","0.31","4.89","78.72","","","0","0","","",""
"Erick Teixeira Lima","Portugal 3.","São João Ver","CF","25","0","","19","857","1","2","0","0.28","Portugal","left","188","no","3.78","4.1","35.9","9.14","31.03","0.42","2.87","0.11","0.21","0","13","1.37","38.46","7.692","1.26","50","2.21","61.9","11.24","33.64","2.94","1.47","0.11","15.54","69.59","2.1","50","0.84","37.5","0.03","0","0.32","1.05","60","1.47","64.29","0.53","1.58","66.67","","","0","0","","",""
"Lisandro Menezes","Portugal 3.","1º Dezembro","LWB, LB","29","0","2026-06-30","13","844","0","0.5","0","0.56","Portugal","left","177","no","5.97","5.23","44.9","2.88","44.44","0.11","4.93","0","0.05","0","4","0.43","25","0","2.24","42.86","0.96","22.22","3.95","48.65","0.43","1.17","0.32","29.43","64.13","13.22","51.61","4.16","43.59","0.06","0","0.43","5.23","63.27","2.35","40.91","0.11","9.17","59.3","","","0","0","","",""
