"Player","League","Team","Position","Age","Market value","Contract expires","Matches played","Minutes played","Goals","Assists","Birth country","Foot","Height","Successful defensive actions per 90","Defensive duels per 90","Defensive duels won, %","Aerial duels per 90","Aerial duels won, %","Shots blocked per 90","PAdj Interceptions","Successful attacking actions per 90","Non-penalty goals per 90","xG per 90","Head goals per 90","Shots per 90","Shots on target, %","Goal conversion, %","Crosses per 90","Accurate crosses, %","Dribbles per 90","Successful dribbles, %","Offensive duels per 90","Offensive duels won, %","Touches in box per 90","Progressive runs per 90","Accelerations per 90","Passes per 90","Accurate passes, %","Forward passes per 90","Accurate forward passes, %","Long passes per 90","Accurate long passes, %","xA per 90","Second assists per 90","Smart passes per 90","Accurate smart passes, %","Key passes per 90","Passes to final third per 90","Accurate passes to final third, %","Passes to penalty area per 90","Accurate passes to penalty area, %","Deep completions per 90","Progressive passes per 90","Accurate progressive passes, %"
"B. Njie","Norway 1.","Odds","LWF, LW, CF","27","400000","","24","1276","2","1","Norway","right","184","3.81","3.46","73.47","4.37","38.71","0.28","1.36","3.81","0.14","0.16","0","0.85","50","16.667","1.83","30.77","4.73","59.7","10.44","39.19","2.68","2.47","0.78","15.66","75.23","2.33","51.52","0.78","45.45","0.14","0","0","0","0.42","0.49","85.71","1.34","57.89","0.78","2.12","53.33"
"E. Hestad","Norway 1.","Molde","RCMF, CF","30","500000","2027-12-31","20","1273","3","2","Norway","left","183","5.8","4.6","55.38","0.99","14.29","0.07","3.77","2.33","0.21","0.17","0","1.2","52.94","17.647","1.06","33.33","1.84","65.38","6.36","37.78","2.83","1.27","0.28","33.23","87.66","8.13","80.87","1.91","66.67","0.07","0.14","0.28","50","0.35","3.75","81.13","2.19","64.52","1.84","3.89","78.18"
"A. Akinyemi","Norway 1.","KFUM","RCB","32","150000","","17","1252","0","0","Norway","right","188","7.91","5.54","63.64","2.95","46.34","0.36","5.25","1.15","0","0.03","0","0.36","20","0","0.93","61.54","0.72","70","1.87","57.69","0.5","0.79","0.14","47.3","87.39","16.53","73.04","5.54","45.45","0","0","0","0","0","4.96","60.87","1.01","64.29","0.29","6.61","64.13"
"M. Gjone","Norway 1.","Sandefjord","RCB, LCB","20","0","2026-12-31","15","1242","1","0","Norway","right","0","6.52","3.99","61.82","6.01","53.01","0.8","5.05","0.72","0.07","0.11","0.07","0.8","36.36","9.091","0","0","0.51","85.71","1.01","57.14","0.94","1.67","0.14","54.93","88.92","17.9","75.3","7.54","60.58","0.02","0","0","0","0","7.25","77","0.43","16.67","0.14","7.75","69.16"
"H. Skogvold","Norway 1.","Fredrikstad","CF, LWF","21","750000","2028-06-30","25","1241","2","0","Norway","both","176","4.13","3.84","60.38","2.9","42.5","0.15","2.03","3.19","0.15","0.25","0","1.52","33.33","9.524","0.87","75","3.34","60.87","7.83","32.41","3.48","1.52","0.73","16.46","78.41","2.83","61.54","0.73","40","0.04","0","0.07","0","0.15","0.58","62.5","1.38","68.42","0.8","1.89","57.69"
"P. Dahl","Norway 1.","KFUM","LW, LWF, AMF","21","0","2028-06-30","15","1232","5","1","Norway","right","180","4.31","4.82","51.52","1.75","12.5","0.07","2.24","3.58","0.37","0.32","0","1.97","48.15","18.519","1.31","22.22","4.89","47.76","10.52","36.11","4.46","3","0.51","13","71.35","1.61","54.55","0.88","75","0.15","0","0.07","0","0.44","0.44","83.33","1.1","46.67","0.73","1.24","76.47"
"S. Christiansen","Norway 1.","Sarpsborg 08","RB, RDMF, LB","24","350000","2026-12-31","16","1229","1","1","Norway","right","185","10.84","8.13","62.16","3.3","48.89","0.51","6.82","2.71","0.07","0.05","0","1.03","14.29","7.143","3.59","34.69","1.83","68","6.3","39.53","1.83","2.05","0.29","40.5","79.57","12.82","65.14","3.37","43.48","0.05","0","0.07","100","0.29","4.1","64.29","2.64","38.89","0.37","6.3","65.12"
"K. Haugen","Norway 1.","Molde","LWB, LB","31","900000","2025-12-31","18","1216","2","4","Norway","left","188","8.07","5.4","56.16","4.96","52.24","0.3","5.67","3.85","0.15","0.18","0","1.04","28.57","14.286","5.63","51.32","1.41","47.37","3.55","39.58","3.63","0.89","0.15","35.3","72.75","8.96","53.72","3.77","35.29","0.23","0.07","0","0","0.89","2.59","48.57","4.66","57.14","1.11","7.03","65.26"
"A. Mikkelsen","Norway 1.","Bodø / Glimt","CF, LWF","24","1200000","2027-12-31","22","1204","2","3","Norway","right","167","2.62","3.29","52.27","1.2","18.75","0","1.25","2.77","0.15","0.28","0","1.87","20","8","2.09","28.57","3.21","53.49","8.97","42.5","4.41","1.57","0.15","23.1","76.38","4.04","64.81","0.82","45.45","0.1","0","0.15","50","0.52","0.97","84.62","2.47","57.58","1.35","2.24","70"
"K. Høgh","Norway 1.","Bodø / Glimt","CF","24","0","2029-12-31","23","1201","12","1","Denmark","right","186","3.45","2.62","48.57","5.4","45.83","0.07","3.14","1.72","0.9","0.55","0.22","2.02","55.56","44.444","0.15","50","0.9","50","6.29","27.38","3.67","0.22","0.15","11.17","82.55","1.57","71.43","0.45","100","0.05","0","0.07","100","0.07","0.75","80","0.22","66.67","0.3","1.2","62.5"
