"Player","League","Team","Position","Age","Market value","Contract expires","Matches played","Minutes played","Goals","xG","Assists","xA","Birth country","Foot","Height","On loan","Successful defensive actions per 90","Defensive duels per 90","Defensive duels won, %","Aerial duels per 90","Aerial duels won, %","Shots blocked per 90","PAdj Interceptions","Non-penalty goals per 90","xG per 90","Head goals per 90","Shots","Shots per 90","Shots on target, %","Goal conversion, %","Crosses per 90","Accurate crosses, %","Dribbles per 90","Successful dribbles, %","Offensive duels per 90","Offensive duels won, %","Touches in box per 90","Progressive runs per 90","Accelerations per 90","Passes per 90","Accurate passes, %","Forward passes per 90","Accurate forward passes, %","Long passes per 90","Accurate long passes, %","xA per 90","Smart passes per 90","Key passes per 90","Passes to final third per 90","Accurate passes to final third, %","Passes to penalty area per 90","Accurate passes to penalty area, %","Deep completions per 90","Progressive passes per 90","Accurate progressive passes, %","Conceded goals per 90","Shots against per 90","Save rate, %","xG against per 90","Prevented goals","Prevented goals per 90","Exits per 90"
"S. Batchelor","Panama 1.","CD Universitario","LB","22","0","","10","881","1","0.85","0","0.04","Panama","","0","no","9.91","9.4","68.48","4.09","57.5","0","5.35","0.1","0.09","0","3","0.31","33.33","33.333","0.51","60","0.51","0","2.96","27.59","0.41","0.82","0","20.94","78.05","8.48","71.08","1.23","50","0","0","0","2.35","56.52","0.61","83.33","0.1","3.78","64.86","","","0","0","","",""
"E. Vasquez","Panama 1.","UMECIT","CB, LCB, RDMF","38","25000","","10","878","0","0.27","0","0.27","Panama","","182","no","7.7","5.92","67.5","4.88","51.52","0.15","5.27","0","0.04","0","6","0.89","16.67","0","0.59","25","0.15","100","1.18","75","1.18","0.15","0","29.16","83.25","12.88","77.01","2.37","43.75","0.04","0.15","0","2.66","66.67","0.74","40","0.15","5.03","61.76","","","0","0","","",""
"Y. Jaen","Panama 1.","Tauro","AMF, LCMF, LWF","29","125000","2026-12-31","18","875","2","1.52","3","1.28","Panama","left","170","no","4.75","5.83","59.26","1.29","16.67","0","1.98","0.11","0.16","0","21","2.27","33.33","4.762","2.16","35","3.35","35.48","14.46","29.85","1.73","2.16","0.32","30.97","79.09","8.31","63.64","1.4","46.15","0.14","0.22","0.32","4.86","68.89","3.35","61.29","1.73","5.61","80.77","","","0","0","","",""
"R. Rangel","Panama 1.","CD Universitario","RAMF, RB, LWF","22","0","","21","874","1","1.04","1","0.71","Panama","right","0","no","7.38","7.38","62.9","1.31","45.45","0","3.92","0.12","0.12","0","5","0.6","40","20","3.33","25","3.57","56.67","9.64","40.74","2.14","1.43","0.36","21.07","72.32","4.88","73.17","2.02","41.18","0.08","0.12","0.36","1.79","80","2.26","31.58","0","4.76","77.5","","","0","0","","",""
"Martin Ruiz","Panama 1.","Independiente","LW, LAMF, LB","25","0","","18","872","4","2.15","0","0.45","Panama","right","176","no","6.26","6.61","57.89","1.51","23.08","0.23","3.53","0.35","0.25","0","17","1.97","52.94","17.647","1.51","15.38","3.94","61.76","13.92","44.17","3.71","1.51","0.35","17.74","75.16","3.6","74.19","0.7","33.33","0.05","0","0.12","1.28","63.64","0.81","0","0.23","0.7","66.67","","","0","0","","",""
"A. Sanchez","Panama 1.","Árabe Unido","CF","31","50000","","13","871","3","3.11","0","0.19","Panama","right","184","no","4.03","3.51","52.94","10.23","28.28","0","2.59","0.31","0.32","0","21","2.17","38.1","14.286","0","0","1.65","56.25","7.85","25","2.07","0.52","0","14.98","66.21","4.44","46.51","0.93","66.67","0.02","0.1","0","1.65","68.75","0.93","22.22","0.31","2.07","55","","","0","0","","",""
"A. Corpas","Panama 1.","Sporting San Miguelito","LW, RW","31","75000","2026-12-31","19","870","1","0.98","0","0.75","Panama","","0","no","7.91","6.37","77.59","1.87","17.65","0","3.89","0.11","0.11","0","14","1.54","50","7.143","1.98","33.33","2.86","42.31","7.8","36.62","1.1","0.99","0.11","19.01","65.9","6.59","41.67","2.2","40","0.08","0.44","0.33","2.64","50","2.31","38.1","0.33","3.41","64.52","","","0","0","","",""
"J. Pinilla","Panama 1.","Herrera","RB, RWB","23","0","","13","858","1","0.1","0","0.34","Panama","","0","no","8.39","9.76","52.69","1.89","50","0.1","4.39","0.1","0.01","0","4","0.42","25","25","1.89","38.89","1.68","68.75","5.56","30.19","0.1","0.63","0","24.76","65.25","11.33","52.78","4.72","40","0.04","0.1","0.42","5.56","56.6","2.94","46.43","0.63","7.87","66.67","","","0","0","","",""
"J. Barrera","Panama 1.","Potros del Este","LCMF, DMF","24","0","2026-12-31","13","856","0","0.23","0","0.6","Panama","","0","no","8.73","8.62","59.76","3.68","31.43","0.11","5.37","0","0.02","0","12","1.26","0","0","1.05","60","0.63","33.33","5.57","28.3","0.32","0.95","0","54.15","84.47","15.77","72","4.63","56.82","0.06","0.11","0.11","11.99","77.19","1.58","40","0","10.09","81.25","","","0","0","","",""
"Y. Díaz","Panama 1.","Tauro","CF, LWF","33","200000","2026-06-30","11","851","7","5.14","1","0.17","Colombia","right","178","no","3.91","4.34","65.85","5.08","25","0","1.44","0.74","0.54","0.21","19","2.01","57.89","36.842","1.37","15.38","3.81","36.11","11.21","34.91","2.64","1.8","0.63","18.61","75","3.91","62.16","0.95","44.44","0.02","0.21","0.11","1.48","64.29","1.16","45.45","0.21","2.22","71.43","","","0","0","","",""
"G. Moreno","Panama 1.","San Francisco","LB","23","75000","2026-12-31","11","847","0","0.01","1","0.72","Panama","left","176","no","9.85","8.91","65.15","1.21","77.78","0","5.96","0","0","0","1","0.13","0","0","2.43","50","0.67","0","3.51","23.08","0","1.62","0","37.92","80.07","18.35","72.79","4.99","56.76","0.1","0","0.27","7.42","65.45","2.16","50","0.13","11.74","81.61","","","0","0","","",""
"J. Gil","Panama 1.","CD Universitario","RB","34","0","","13","845","1","0.48","0","0.12","Panama","","175","no","7.56","6.82","60.94","2.24","47.62","0.11","5.4","0.11","0.05","0","3","0.32","66.67","33.333","2.13","35","0.21","50","1.49","35.71","0.43","0.21","0","30.99","80.41","13.21","75","3.62","52.94","0.01","0","0.11","3.94","54.05","2.56","41.67","0.43","6.5","85.25","","","0","0","","",""
"A. Mckenzie","Panama 1.","Alianza","CF","28","0","","11","821","2","2.9","0","0.35","Panama","unknown","180","no","3.16","4.53","45.45","3.98","20.69","0","1.74","0.27","0.4","0","18","2.47","38.89","11.111","1.1","50","5.08","35.14","12.9","32.98","3.43","2.47","0.14","13.99","71.57","2.33","52.94","0.41","33.33","0.05","0","0.14","0.96","28.57","0.69","60","0.27","1.51","72.73","","","0","0","","",""
"D. Wright","Panama 1.","Tauro","LCMF, CB, RCMF","31","100000","","12","818","0","0","1","0.2","Panama","","173","no","7.69","7.57","60.94","3.9","54.55","0","4.84","0","0","0","0","0","0","0","0.12","100","0.12","100","1.54","46.15","0","0.47","0","37.61","88.68","14.43","77.05","5.56","57.45","0.02","0","0","5.09","62.79","0.71","16.67","0.12","6.74","91.23","","","0","0","","",""
"M. Jiménez","Panama 1.","UMECIT","RCB, LCB","31","0","","10","815","0","0.75","0","0","Panama","right","186","no","7.62","4.75","60.47","5.41","57.14","0.99","6.78","0","0.08","0","5","0.55","40","0","0","0","0.11","100","0.99","44.44","0.66","0.11","0","28.49","81.4","12.81","68.1","4.53","39.02","0","0","0","2.76","40","0.55","0","0","5.41","48.98","","","0","0","","",""
"K. Garrido","Panama 1.","Herrera","RAMF, RW, RWB","22","0","","20","803","0","1.34","1","0.51","Panama","left","0","no","8.57","9.7","59.3","7.11","31.75","0","4.52","0","0.15","0","15","1.69","13.33","0","2.26","25","1.92","58.82","7.67","33.82","2.48","0.9","0.34","14.44","67.19","3.83","58.82","0.9","37.5","0.06","0","0.34","1.47","46.15","1.58","28.57","0.34","2.71","70.83","","","0","0","","",""
