"Player","League","Team","Position","Age","Market value","Contract expires","Matches played","Minutes played","Goals","Assists","Birth country","Foot","Height","Successful defensive actions per 90","Defensive duels per 90","Defensive duels won, %","Aerial duels per 90","Aerial duels won, %","Shots blocked per 90","PAdj Interceptions","Successful attacking actions per 90","Non-penalty goals per 90","xG per 90","Head goals per 90","Shots per 90","Shots on target, %","Goal conversion, %","Crosses per 90","Accurate crosses, %","Dribbles per 90","Successful dribbles, %","Offensive duels per 90","Offensive duels won, %","Touches in box per 90","Progressive runs per 90","Accelerations per 90","Passes per 90","Accurate passes, %","Forward passes per 90","Accurate forward passes, %","Long passes per 90","Accurate long passes, %","xA per 90","Second assists per 90","Smart passes per 90","Accurate smart passes, %","Key passes per 90","Passes to final third per 90","Accurate passes to final third, %","Passes to penalty area per 90","Accurate passes to penalty area, %","Deep completions per 90","Progressive passes per 90","Accurate progressive passes, %"
"J. Šuver","Croatia 1.","Vukovar","LCB, LB","22","50000","","7","578","0","0","Germany","right","189","7.32","4.2","66.67","2.02","53.85","0.62","5.03","0.78","0","0.01","0","0.16","100","0","0.62","50","0.31","100","0.78","80","0.16","0.31","0","33.17","84.04","17.13","80.91","5.29","44.12","0.01","0","0","0","0","3.11","75","0.62","75","0.16","7.32","70.21"
"Y. Touré","Croatia 1.","Osijek","CF","25","0","","11","561","0","1","Senegal","right","184","3.85","1.93","41.67","6.42","30","0.32","5.09","1.12","0","0.2","0","1.28","37.5","0","0.64","25","0.8","40","6.42","25","3.05","0.96","0.32","11.23","77.14","2.09","76.92","0.16","100","0.09","0","0.32","50","0.32","1.12","85.71","0.96","50","0.32","1.6","80"
"E. Frederiksen","Croatia 1.","Istra 1961","RWF, LWF, RAMF","25","800000","2026-12-31","10","559","1","1","Denmark","left","175","5.8","5.15","65.63","2.25","14.29","0.16","3.36","0.97","0.16","0.05","0","0.48","33.33","33.333","1.61","40","0.97","0","3.7","17.39","1.77","1.13","0","25.92","67.08","9.02","58.93","2.09","61.54","0.28","0","0.16","100","0.97","3.38","61.9","2.9","61.11","1.77","6.6","80.49"
"J. Lasickas","Croatia 1.","Rijeka","LB, RAMF, RB","28","300000","","9","541","0","0","Lithuania","right","176","11.15","9.15","56.36","3.16","42.11","0.17","7.26","2","0","0.03","0","0.67","25","0","1.83","36.36","1.83","45.45","6.16","43.24","1.33","1.66","0.5","36.93","74.77","14.14","62.35","2.83","47.06","0.06","0.17","0.33","100","0.33","4.49","48.15","2.5","33.33","0.67","5.99","63.89"
"I. Cvijanović","Croatia 1.","Osijek","LCB, LB","22","500000","","8","535","0","0","Croatia","left","185","7.23","4.37","61.54","3.7","59.09","0.5","5.65","0","0","0.01","0","0.34","0","0","0.17","0","0","0","0.84","40","0.17","0.84","0","50.3","83.28","24.9","76.35","8.07","52.08","0","0","0","0","0","8.92","62.26","0.84","20","0.34","10.93","67.69"
"D. Čop","Croatia 1.","Rijeka","CF","35","100000","","10","533","2","0","Croatia","right","184","4.39","3.88","52.17","4.22","20","0","3.41","1.18","0.34","0.46","0","1.86","36.36","18.182","0","0","1.01","50","5.91","11.43","3.88","0.34","0","15.03","75.28","3.55","61.9","0.34","50","0.11","0","0.17","0","0.51","0.84","60","0.84","40","0.84","1.18","57.14"
"J. Vasilj","Croatia 1.","Lokomotiva Zagreb","AMF, LW","23","400000","2026-06-30","10","533","0","1","Croatia","right","181","4.05","2.7","81.25","3.71","31.82","0.17","1.59","4.05","0","0.22","0","1.86","27.27","0","1.35","25","3.88","78.26","13.51","42.5","4.73","2.7","0.34","31.58","77.54","11.14","71.21","1.86","54.55","0.21","0","0.17","100","0.68","4.05","62.5","1.86","45.45","1.52","4.39","76.92"
"L. Škaričić","Croatia 1.","Varaždin","LCB, LB, RCB","23","250000","2028-05-31","8","531","1","0","Croatia","right","190","9.49","5.42","65.63","2.03","75","0.34","5.84","0.68","0.17","0.18","0","0.68","50","25","0.68","25","0.17","100","1.19","42.86","1.02","1.69","0.34","39.32","86.21","16.44","78.35","5.59","63.64","0","0","0.17","0","0","3.9","69.57","0.51","33.33","0","7.46","72.73"
"M. Subotić","Croatia 1.","Lokomotiva Zagreb","RCMF, LCMF, DMF","17","0","2026-06-30","11","518","0","1","Croatia","unknown","0","6.08","4.17","58.33","1.22","14.29","0.17","4.79","0.69","0","0","0","0","0","0","0.69","25","0.52","100","5.56","59.38","0.52","0.52","0","35.97","89.37","9.03","75","2.08","50","0.12","0","0.17","0","0.17","3.47","85","0.69","25","0","4.17","66.67"
"F. Krušelj","Croatia 1.","Slaven Belupo","RB, RWB","20","0","2027-05-31","6","518","0","0","Croatia","right","182","13.9","11.64","52.24","2.78","37.5","0.69","9.04","2.08","0","0.04","0","0.52","33.33","0","2.61","33.33","1.39","75","3.47","40","1.04","1.56","0.17","30.75","71.75","13.55","69.23","5.56","50","0.12","0","0","0","0.52","4.52","50","1.74","30","0.17","5.91","58.82"
