"Player","League","Team","Position","Age","Market value","Contract expires","Matches played","Minutes played","Goals","Assists","Birth country","Foot","Height","Successful defensive actions per 90","Defensive duels per 90","Defensive duels won, %","Aerial duels per 90","Aerial duels won, %","Shots blocked per 90","PAdj Interceptions","Successful attacking actions per 90","Non-penalty goals per 90","xG per 90","Head goals per 90","Shots per 90","Shots on target, %","Goal conversion, %","Crosses per 90","Accurate crosses, %","Dribbles per 90","Successful dribbles, %","Offensive duels per 90","Offensive duels won, %","Touches in box per 90","Progressive runs per 90","Accelerations per 90","Passes per 90","Accurate passes, %","Forward passes per 90","Accurate forward passes, %","Long passes per 90","Accurate long passes, %","xA per 90","Second assists per 90","Smart passes per 90","Accurate smart passes, %","Key passes per 90","Passes to final third per 90","Accurate passes to final third, %","Passes to penalty area per 90","Accurate passes to penalty area, %","Deep completions per 90","Progressive passes per 90","Accurate progressive passes, %"
"D. Bariš","Slovakia 1.","Trenčín","DMF, RCMF, LCMF","30","275000","","26","2034","3","0","Slovakia","right","178","7.96","6.02","58.82","1.55","37.14","0.22","5.84","1.42","0.09","0.1","0","1.15","23.08","11.538","1.06","25","1.24","67.86","3.5","44.3","0.75","0.75","0","30.71","77.67","10.66","65.56","3.89","55.68","0.05","0","0.13","33.33","0.22","4.03","64.84","2.12","54.17","1.02","5.04","65.79"
"R. Paraj","Slovakia 1.","Podbrezová","RCB, LCMF, RCMF","33","200000","2026-06-30","28","2006","1","2","Slovakia","right","187","10.63","10.23","64.47","4.49","55","0.31","4.75","0.76","0.04","0.09","0","0.81","27.78","5.556","0.94","33.33","0.4","44.44","4.76","49.06","1.21","0.72","0.04","34.32","79.74","14","70.19","4.35","49.48","0.05","0.13","0.04","100","0.18","6.06","68.89","1.48","54.55","0.49","7.22","72.67"
"M. Mášik","Slovakia 1.","Skalica","LDMF, RDMF","26","150000","","28","1987","0","1","Slovakia","right","178","9.47","7.61","57.74","2.99","40.91","0.54","5.72","0.95","0","0.09","0","1.13","36","0","0.82","22.22","0.36","100","1.68","59.46","0.82","0.32","0","29.89","76.06","12.59","67.27","3.53","51.28","0.04","0","0.09","0","0.18","5.34","68.64","1.36","33.33","0.27","6.66","66.67"
"K. Ofori","Slovakia 1.","Spartak Trnava","AMF, RWF, RW","24","600000","","27","1982","9","1","Ghana","left","172","3.91","3.68","56.79","1.27","21.43","0.05","2.38","3.54","0.41","0.23","0","2.72","30","15","1.27","39.29","4.31","47.37","16.44","37.02","2.91","2.68","0.32","29.83","86.91","7.72","77.06","1.41","51.61","0.11","0.05","0.18","100","0.36","2.77","81.97","2.45","57.41","1.73","3.77","78.31"
"R. Ibrahim","Slovakia 1.","Slovan Bratislava","RCMF, CF, RDMF","24","0","","26","1978","4","1","Ghana","right","185","6.78","6.46","57.04","3.73","52.44","0.32","4.65","2.41","0.18","0.21","0.05","1.96","27.91","9.302","0.55","16.67","3.69","46.91","15.52","37.83","2.14","1.77","0.14","27.03","82.15","5.6","64.23","1.05","47.83","0.04","0","0.05","100","0.18","3.55","79.49","0.73","18.75","0.46","3.14","63.77"
"J. Minárik","Slovakia 1.","Žilina","RCB","28","375000","2026-06-30","20","1955","2","1","Slovakia","right","192","8.98","6.35","61.59","2.62","56.14","0.32","8.18","0.78","0.09","0.07","0.09","0.92","30","10","0.69","40","0.41","44.44","1.15","36","0.87","0.92","0","60.49","85.92","24.68","75.19","7.55","56.71","0.03","0.05","0.14","33.33","0.23","8.7","71.96","1.29","42.86","0.46","12.75","78.7"
"M. Černek","Slovakia 1.","Skalica","LB, LAMF","30","0","2027-06-30","29","1953","2","2","Slovakia","left","180","10.92","9.77","58.96","3.73","55.56","0.37","6.07","1.84","0.09","0.14","0.05","0.83","33.33","11.111","2.76","33.33","1.38","43.33","5.35","41.38","1.66","1.11","0.09","29.49","65.31","13.87","59.8","4.61","40","0.06","0","0.09","50","0.32","5.02","53.21","2.44","49.06","0.46","8.48","61.41"
"M. Tolić","Slovakia 1.","Slovan Bratislava","AMF, LCMF","29","1200000","","29","1921","2","15","Croatia","right","189","4.26","4.31","55.43","1.26","62.96","0.05","2.63","4.08","0.05","0.27","0","2.2","34.04","4.255","2.76","27.12","3.75","61.25","10.35","47.51","3.33","2.62","0","48.77","79.92","15.93","71.76","5.43","60.34","0.39","0.19","0.56","50","0.98","9.18","70.41","4.78","56.86","2.86","8.9","88.95"
"A. Marković","Slovakia 1.","Podbrezová","LCB","23","175000","2026-12-31","23","1917","0","0","Serbia","right","194","9.06","7.09","75.5","3.8","48.15","0.47","4.74","0.99","0","0.01","0","0.28","33.33","0","0.61","38.46","0.94","70","4.13","43.18","0.47","1.17","0.14","33.66","78.94","13.43","62.94","5.59","41.18","0.02","0","0.05","0","0.05","4.93","55.24","1.36","20.69","0.14","6.38","56.62"
"M. Káčer","Slovakia 1.","Žilina","RCMF, LCMF","29","375000","2026-06-30","28","1882","2","4","Slovakia","right","171","8.99","6.36","62.41","2.15","37.78","0.33","6.42","0.77","0.1","0.05","0","0.86","38.89","11.111","0.43","33.33","0.53","45.45","4.35","47.25","0.53","1.05","0.1","48.97","86.23","13.53","70.32","4.16","58.62","0.09","0","0.29","16.67","0.33","6.89","72.22","2.44","49.02","1","6.31","74.24"
